comment,label,score
The Chinese fans actually seem very respectful they arent attacking him like people in other countries,POSITIVE,0.8977896571159363
As a Chinese citizen I must say this translation is utterly garbage It demonstrates zero professionalism with numerous mistranslations that completely ruined the programs intended comedic effects and entertainment value,NEGATIVE,0.9998038411140442
After watching this video I realized how stupid my previous views on China were I decided to plan a trip to China this year I think if I dont go to China I will regret it for the rest of my life,NEGATIVE,0.9993778467178345
Its so frustrating watching Speed try to communicate with people and the translator is either not around or doesnt know anything,NEGATIVE,0.9997485280036926
For those who dont know lots of people in China reposted his reaction of sunshine rainbow white pony to chinese social media it went viral which makes him kinda popular in China,POSITIVE,0.9720025062561035
Bro definitely crushed decades worth of antiChina propaganda in one stream,NEGATIVE,0.9992260932922363
Just want to explain that Na Ge is a filler word in Chinese and we use it very often in speaking It has no relation to the english N word But sorry for ur first 5 mins in China hearing this tho he has no intention saying it hope u enjoy the trip here in China,NEGATIVE,0.9991983771324158
Seriously the BEST so far in MY Opinion W China,POSITIVE,0.9997962117195129
Your translator was not translating for you he has his own agenda and was being extremely rude to everyone around you please fire him,NEGATIVE,0.9994705319404602
Chinese people are very well behaved and nice What a polite people God bless the people of China,POSITIVE,0.9998522996902466
Single handedly undid all the US propaganda to hate China,POSITIVE,0.8700066804885864
433 Get off the car 1055 KFC 1912 Top Toy 3834 Marriage Market 5029 5916 Get on the car and off 10439 dumplingsteamed soup dumplings 11214 ramen 12510 red packet 12811 saxophone of Sunshine rainbow white pony 13233 13939 Get on the car and off 14043 Giving away money from fans 14622 Gym room 15214 21324 Table tennis contest 21920 22435 Kung fu test 22441 23103 Lion dance 23116 24248 Basketball 24814 Hotpot 25514 25551 crazy kids 30414 End hotpot 30422 30744 Chinese opera 31202 32418 Get on the car and off 32753 sb taking wedding photos 33014 Sunshine rainbow white pony 33302 first china backflip 34416 kick the football 35000 run 35522 43158 bus 43214 44117 car 44250 50708 temple 50741 51138 car 51711 icecream 52702 53451 taxi 54456 cat 54555 haircut 55325 watermelon 55856 60144 car 60348 37million 60449 car,NEGATIVE,0.9813993573188782
Chinas internet support is crazy bro its top notch no other country can beat china Internet quality is the reason why speed could do straight 6 hour stream with 2k Quality,NEGATIVE,0.9088982343673706
The Chinese hairdresser didnt mean anything negative He just said this hairstyle is too complicated to handle because they have never done locs before Your interpreter translated it poorly and made it seem misleading Please dont feel upset Actually we like locstheyre cool,NEGATIVE,0.9967548251152039
Horrible translator didnt even translate half the time and translated incorrectly with no manners Please get a new one,NEGATIVE,0.9996896982192993
I like how the people in China are so openhanded and very welcoming to Speed props to these people,POSITIVE,0.999607264995575
CHINA is a beautiful country nice and educated people love from Indonesia,POSITIVE,0.9998351335525513
Chinese people are really nice Im going to Shanghai China next week,POSITIVE,0.9996944665908813
Damn China have beautiful Cities and Good People Best Citys in the world,POSITIVE,0.9998435974121094
Norway,POSITIVE,0.9951504468917847
i always knew And fist when his live started i saw like no why live in norway many young people is crazy But it is what it is And Crazy and Hatisk and evil is not good,NEGATIVE,0.9993852376937866
WyattCarlsonjk1gh Be quiet they were so nice,POSITIVE,0.994754433631897
Speed said it was boring and they were unathletic,NEGATIVE,0.9996222257614136
JohnDoebh2lp Guess who gets the most olympic medal,NEGATIVE,0.9532359838485718
httpswwwyoutubecomwatchv7TcrxOR63k knee guard,NEGATIVE,0.9857838153839111
Itll be the same if he comes to Kerala,NEGATIVE,0.9922881126403809
YEAH LIKE PHILIPPINES AHAHAHAA,POSITIVE,0.993946373462677
But This stream looks like its sponsored by Chinese higher authorities everything looks so preplanned and even the randoms coming seems like they are intentionally there at that moment unlike other countries where the stream are absolutely random,NEGATIVE,0.9992757439613342
beastyt221 he is not going there,NEGATIVE,0.9993626475334167
disorganized team keep changing should stick to the plan not let speed dictate,NEGATIVE,0.9958195686340332
not physically at least,NEGATIVE,0.9965421557426453
cuz they got warned to be respectful to black people,NEGATIVE,0.9943917393684387
zzyuk814 Im Chinese and I watched most of the live yesterday I can say 50 of the live is pretty staged but the other half is real crazy fans,POSITIVE,0.998944103717804
zzyuk814 Sorry I know he may seem very big and very important to you but hes not important enough to organize higher authorities in China Even local mega stars arent important enough to get higher authorities out when doing massive shows,NEGATIVE,0.9953266382217407
You didnt watch his other livestream then its the same as in other countrieslocal social media influencers just chasing him and want to have some interaction with him for clout,NEGATIVE,0.9938569664955139
Some segments are staged by Speedhis crew and locals but its definitely not arranged by higher Chinese authorities,NEGATIVE,0.9976961016654968
zzyuk814 No need to spread western propaganda here Ive seen your reply popping up under multiple other comments but youre probably a bot anyways,NEGATIVE,0.9980948567390442
